Experiment,Grammaticality,Attractor,Accuracy
WLP2009E7,Grammatical,Match,0.93
WLP2009E7,Grammatical,Mismatch,0.91
WLP2009E7,Ungrammatical,Match,0.75
WLP2009E7,Ungrammatical,Mismatch,0.45
TNB2014E1,Grammatical,Match,0.92
TNB2014E1,Grammatical,Mismatch,0.9
TNB2014E1,Ungrammatical,Match,0.9
TNB2014E1,Ungrammatical,Mismatch,0.75
TNB2014E2,Grammatical,Match,0.81
TNB2014E2,Grammatical,Mismatch,0.75
TNB2014E2,Ungrammatical,Match,0.92
TNB2014E2,Ungrammatical,Mismatch,0.8
H2009E1,Grammatical,Match,0.94
H2009E1,Grammatical,Mismatch,0.82
H2009E1,Ungrammatical,Match,0.95
H2009E1,Ungrammatical,Mismatch,0.93
H2009E2,Grammatical,Match,0.92
H2009E2,Grammatical,Mismatch,0.8
H2009E2,Ungrammatical,Match,0.89
H2009E2,Ungrammatical,Mismatch,0.74
H2009E3,Grammatical,Match,0.92
H2009E3,Grammatical,Mismatch,0.81
H2009E3,Ungrammatical,Match,0.94
H2009E3,Ungrammatical,Mismatch,0.79
H2009E5,Grammatical,Match,0.86
H2009E5,Grammatical,Mismatch,0.7
H2009E5,Ungrammatical,Match,0.84
H2009E5,Ungrammatical,Mismatch,0.64
H2009E6,Grammatical,Match,0.9
H2009E6,Grammatical,Mismatch,0.86
H2009E6,Ungrammatical,Match,0.88
H2009E6,Ungrammatical,Mismatch,0.76
W2008E3,Grammatical,Match,0.82
W2008E3,Grammatical,Mismatch,0.7
W2008E3,Ungrammatical,Match,0.72
W2008E3,Ungrammatical,Mismatch,0.36
W2008E5a,Grammatical,Match,0.86
W2008E5a,Grammatical,Mismatch,0.75
W2008E5a,Ungrammatical,Match,0.62
W2008E5a,Ungrammatical,Mismatch,0.33
W2008E5b,Grammatical,Match,0.71
W2008E5b,Grammatical,Mismatch,0.7
W2008E5b,Ungrammatical,Match,0.72
W2008E5b,Ungrammatical,Mismatch,0.53
T2011E1,Grammatical,Match,0.94
T2011E1,Grammatical,Mismatch,0.91
T2011E1,Ungrammatical,Match,0.92
T2011E1,Ungrammatical,Mismatch,0.82
E1,Grammatical,Match,0.89
E1,Grammatical,Mismatch,0.86
E1,Ungrammatical,Match,0.8
E1,Ungrammatical,Mismatch,0.6
E2,Grammatical,Match,0.89
E2,Grammatical,Mismatch,0.78
E2,Ungrammatical,Match,0.84
E2,Ungrammatical,Mismatch,0.6
E3,Grammatical,Match,0.87
E3,Grammatical,Mismatch,0.77
E3,Ungrammatical,Match,0.88
E3,Ungrammatical,Mismatch,0.72
