"subj","item","condition","sentence","rt","Verb","Experiment","Attractor","Grammaticality","Accuracy"
"28",16,4,"The student with the backpacks probably were",1498.14486504,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",6,2,"The car near the garages frequently was",1164.46614265,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",56,4,"The helicopter of the executives never have",1531.89086914,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"28",24,4,"The service by the preachers potentially are",1614.91394043,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",2,2,"The label on the bottles usually was",1765.17987251,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",14,2,"The entrance to the laboratories unexpectedly was",898.335933685,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",28,4,"The advisor of the students carefully are",1097.79000282,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",26,2,"The light in the hallways unexpectedly is",897.956132889,"Auxiliary","Experiment 1","Plural","Grammatical",0
"28",29,1,"The principal of the school rarely is",1431.72693253,"Auxiliary","Experiment 1","Singular","Grammatical",0
"28",49,1,"The lane for the bus apparently has",730.73387146,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",10,2,"The letter from the lawyers supposedly was",581.428050995,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",45,1,"The volunteer in the village frequently has",714.242935181,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",5,1,"The problem with the school unfortunately was",715.080022812,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",25,1,"The leader of the riot frequently is",1098.25086594,"Auxiliary","Experiment 1","Singular","Grammatical",0
"28",39,3,"The composer of the opera never are",1281.31103516,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",34,2,"The input from the consultants always is",1063.57908249,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",31,3,"The soldier by the tank impatiently are",1348.98209572,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",20,4,"The map with the creeks always were",1198.55594635,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"28",1,1,"The slogan on the poster really was",980.46708107,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",48,4,"The story about the goats always have",965.134143829,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"28",32,4,"The office of the accountants apparently are",1366.26005173,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",52,4,"The claim by the judges needlessly have",1031.04019165,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",53,1,"The paper from the student clearly has",1032.27615356,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",19,3,"The argument about the bill never were",1131.21414185,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",37,1,"The star of the musical always is",831.244945526,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",13,1,"The door to the office unfortunately was",631.853818893,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",17,1,"The paycheck for the maid always was",782.104969025,"Auxiliary","Experiment 1","Singular","Grammatical",1
