"subj","stimulustype","item","condition","sentence","response","rt","order","CorrectResponse","Grammaticality","Attractor","Accuracy"
"1","Filler",67,0,"The guitar and the amplifier really rocks","j",1.28066396713,2,"j","Ungrammatical","NA",1
"1","Filler",110,0,"The nurse loves the decorations that the residents always makes","j",0.946727991104,4,"j","Ungrammatical","NA",1
"1","Filler",132,0,"The captain knows that the sailors often smoke","f",1.24686813354,5,"f","Grammatical","NA",1
"1","Filler",140,0,"The lawyer said that the clients frequently lies","j",1.14846515656,6,"j","Ungrammatical","NA",1
"1","Filler",68,0,"The book and the magazine never sells","j",1.36416697502,8,"j","Ungrammatical","NA",1
"1","Filler",70,0,"The jersey and the glove probably stinks","j",1.06349110603,10,"j","Ungrammatical","NA",1
"1","Filler",131,0,"The novelist wrote that the characters suddenly meet","f",0.931739091873,11,"f","Grammatical","NA",1
"1","Filler",125,0,"The boss insists that the secretary always smile","j",0.947675943375,13,"j","Ungrammatical","NA",1
"1","Filler",138,0,"The manager reported that the contracts probably expires","j",1.07887601852,15,"j","Ungrammatical","NA",1
"1","Filler",94,0,"The worker replaces the light that the tenant always break","j",1.04818701744,17,"j","Ungrammatical","NA",1
"1","Filler",129,0,"The chimney sweep found that the bricks often break","f",0.84672999382,19,"f","Grammatical","NA",1
"1","Filler",101,0,"The book describes the war that the citizens sadly remember","f",0.913411855698,21,"f","Grammatical","NA",1
"1","Filler",74,0,"The coffee and the muffin never cools","j",1.1811299324,23,"j","Ungrammatical","NA",1
"1","Filler",95,0,"The critic praised the restaurant that the celebrity really like","j",0.879974842072,25,"j","Ungrammatical","NA",1
"1","Filler",111,0,"The owner claimed that the restaurant often fill","j",1.18148183823,26,"j","Ungrammatical","NA",1
"1","Filler",86,0,"The man fixed the leash that the dog aggressively chew","j",1.06511116028,28,"j","Ungrammatical","NA",1
"1","Filler",91,0,"The committee awards the building that the architect truly love","j",0.931089162827,29,"j","Ungrammatical","NA",1
"1","Filler",114,0,"The repairman said that the refrigerator still work","j",0.930115938187,31,"j","Ungrammatical","NA",1
"1","Filler",89,0,"The cat lost the toy that the kid always buy","j",0.897709131241,33,"j","Ungrammatical","NA",1
"1","Filler",81,0,"The teacher supports the student that the principal usually punish","j",0.930624008179,34,"j","Ungrammatical","NA",1
"1","Filler",61,0,"The dog and the cat always play","f",1.24900603294,36,"f","Grammatical","NA",1
"1","Filler",128,0,"The bus driver worries that the breaks frequently squeak","f",1.56361103058,38,"f","Grammatical","NA",1
"1","Filler",133,0,"The professor reported that the students always complains","j",1.14742207527,40,"j","Ungrammatical","NA",1
"1","Filler",72,0,"The executioner and the victim never speaks","j",0.96452999115,42,"j","Ungrammatical","NA",1
"1","Filler",98,0,"The waiter brought the meal that the boys apparently want","f",1.2158229351,43,"f","Grammatical","NA",1
"1","Filler",63,0,"The chair and the desk frequently break","f",1.36344599724,45,"f","Grammatical","NA",1
"1","Filler",75,0,"The camera and the lens definitely amazes","j",1.54768180847,47,"j","Ungrammatical","NA",1
"1","Filler",108,0,"The captain releases the whales that the fishermen sometimes catches","j",1.39774417877,48,"j","Ungrammatical","NA",1
"1","Filler",77,0,"The microphone and the guitar loudly buzzes","j",1.48107790947,50,"j","Ungrammatical","NA",1
"1","Filler",88,0,"The cop sips the coffee that the waitress carefully pour","j",0.881150960922,52,"j","Ungrammatical","NA",1
"1","Filler",122,0,"The astronaut thinks that the engine never fail","j",1.43185281754,54,"j","Ungrammatical","NA",1
"1","Filler",137,0,"The analyst discovered that the accountants sometimes miscalculates","f",1.39588403702,56,"j","Ungrammatical","NA",0
"1","Filler",85,0,"The dad hated the story that the child really love","j",0.948515892029,58,"j","Ungrammatical","NA",1
"1","Filler",90,0,"The magazine publishes the essays that the editor wrongly reject","j",1.19769001007,60,"j","Ungrammatical","NA",1
"1","Filler",117,0,"The chef knows that the dish probably amaze","j",1.11314702034,62,"j","Ungrammatical","NA",1
"1","Filler",76,0,"The picture and the frame apparently matches","j",1.93143010139,63,"j","Ungrammatical","NA",1
"1","Filler",135,0,"The nurse saw that the soldiers never rests","j",1.11459088326,65,"j","Ungrammatical","NA",1
"1","Filler",106,0,"The billionaire tips the apprentice that the tailors usually trains","j",1.29827690125,67,"j","Ungrammatical","NA",1
"1","Filler",78,0,"The cash and the check likely suffices","j",1.02906298637,69,"j","Ungrammatical","NA",1
"1","Filler",66,0,"The tailor and the customer cheerily talk","f",1.06371498108,71,"f","Grammatical","NA",1
"1","Filler",127,0,"The stewardess knows that the pilots always gossip","f",1.64826798439,72,"f","Grammatical","NA",1
"1","Filler",124,0,"The technician found that the laboratory never quiet","j",1.28049993515,74,"j","Ungrammatical","NA",1
"1","Filler",112,0,"The teacher said that the student tentatively pass","j",1.68297314644,76,"j","Ungrammatical","NA",1
"1","Filler",62,0,"The sailor and the captain usually fight","f",0.86400604248,77,"f","Grammatical","NA",1
"1","Filler",71,0,"The fireman and the cop usually chats","j",0.846992969513,79,"j","Ungrammatical","NA",1
"1","Filler",73,0,"The chainsaw and the lawnmower frequently breaks","j",1.58037185669,81,"j","Ungrammatical","NA",1
