"subj","RT","cond","Attractor","Grammaticality","Accuracy","Response","Experiment"
1,1.09723615646,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,1.49548411369,2,"Plural","Grammatical",1,1,"Experiment 1"
1,0.981595993042,1,"Singular","Grammatical",1,1,"Experiment 1"
1,0.831157922745,1,"Singular","Grammatical",1,1,"Experiment 1"
1,1.31404399872,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,1.13114690781,1,"Singular","Grammatical",1,1,"Experiment 1"
1,1.18130087852,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,1.34894704819,4,"Plural","Ungrammatical",1,0,"Experiment 1"
1,0.997267961502,1,"Singular","Grammatical",1,1,"Experiment 1"
1,0.863768815994,4,"Plural","Ungrammatical",1,0,"Experiment 1"
1,0.84562420845,1,"Singular","Grammatical",1,1,"Experiment 1"
1,0.999087810516,4,"Plural","Ungrammatical",1,0,"Experiment 1"
1,1.16407394409,1,"Singular","Grammatical",1,1,"Experiment 1"
1,1.78034901619,1,"Singular","Grammatical",1,1,"Experiment 1"
1,1.43121910095,4,"Plural","Ungrammatical",1,0,"Experiment 1"
1,1.03123688698,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,0.81418800354,2,"Plural","Grammatical",1,1,"Experiment 1"
1,1.5127799511,4,"Plural","Ungrammatical",1,0,"Experiment 1"
1,1.41409707069,2,"Plural","Grammatical",0,0,"Experiment 1"
1,1.13076591492,4,"Plural","Ungrammatical",0,1,"Experiment 1"
1,0.747568845749,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,2.53267502785,1,"Singular","Grammatical",0,0,"Experiment 1"
1,2.21674108505,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,0.930694818497,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,1.94768500328,3,"Singular","Ungrammatical",0,1,"Experiment 1"
1,2.11540389061,2,"Plural","Grammatical",0,0,"Experiment 1"
1,1.01286792755,4,"Plural","Ungrammatical",0,1,"Experiment 1"
1,1.07863903046,1,"Singular","Grammatical",0,0,"Experiment 1"
1,1.51495504379,2,"Plural","Grammatical",1,1,"Experiment 1"
1,0.697618961334,2,"Plural","Grammatical",1,1,"Experiment 1"
1,1.08042407036,1,"Singular","Grammatical",0,0,"Experiment 1"
1,1.48197007179,1,"Singular","Grammatical",1,1,"Experiment 1"
1,0.879998922348,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,2.39961600304,3,"Singular","Ungrammatical",0,1,"Experiment 1"
1,1.01437282562,2,"Plural","Grammatical",1,1,"Experiment 1"
1,1.5818529129,3,"Singular","Ungrammatical",1,0,"Experiment 1"
1,1.2804338932,2,"Plural","Grammatical",1,1,"Experiment 1"
1,0.881079912186,3,"Singular","Ungrammatical",0,1,"Experiment 1"
