"","V1","V2","Attractor","Grammaticality","Experiment"
"1",-5,4.278188618e-11,"Match","Grammatical","Experiment 1"
"2",-4.99,4.482969942e-11,"Match","Grammatical","Experiment 1"
"3",-4.98,4.697581875e-11,"Match","Grammatical","Experiment 1"
"4",-4.97,4.922416693e-11,"Match","Grammatical","Experiment 1"
"5",-4.96,5.158060275e-11,"Match","Grammatical","Experiment 1"
"6",-4.95,5.404965349e-11,"Match","Grammatical","Experiment 1"
"7",-4.94,5.663660575e-11,"Match","Grammatical","Experiment 1"
"8",-4.93,5.93480411e-11,"Match","Grammatical","Experiment 1"
"9",-4.92,6.218866793e-11,"Match","Grammatical","Experiment 1"
"10",-4.91,6.516535155e-11,"Match","Grammatical","Experiment 1"
"11",-4.9,6.828504061e-11,"Match","Grammatical","Experiment 1"
"12",-4.89,7.155329684e-11,"Match","Grammatical","Experiment 1"
"13",-4.88,7.497857991e-11,"Match","Grammatical","Experiment 1"
"14",-4.87,7.856773203e-11,"Match","Grammatical","Experiment 1"
"15",-4.86,8.232815322e-11,"Match","Grammatical","Experiment 1"
"16",-4.85,8.626952545e-11,"Match","Grammatical","Experiment 1"
"17",-4.84,9.039878301e-11,"Match","Grammatical","Experiment 1"
"18",-4.83,9.472567569e-11,"Match","Grammatical","Experiment 1"
"19",-4.82,9.9260568e-11,"Match","Grammatical","Experiment 1"
"20",-4.81,1.0401139973e-10,"Match","Grammatical","Experiment 1"
"21",-4.8,1.0899032675e-10,"Match","Grammatical","Experiment 1"
"22",-4.79,1.142077312e-10,"Match","Grammatical","Experiment 1"
"23",-4.78,1.1967393264e-10,"Match","Grammatical","Experiment 1"
"24",-4.77,1.2540313172e-10,"Match","Grammatical","Experiment 1"
"25",-4.76,1.3140561182e-10,"Match","Grammatical","Experiment 1"
"26",-4.75,1.3769517776e-10,"Match","Grammatical","Experiment 1"
"27",-4.74,1.4428723364e-10,"Match","Grammatical","Experiment 1"
"28",-4.73,1.5119319606e-10,"Match","Grammatical","Experiment 1"
"29",-4.72,1.5843047883e-10,"Match","Grammatical","Experiment 1"
"30",-4.71,1.6601478707e-10,"Match","Grammatical","Experiment 1"
"31",-4.7,1.7396055405e-10,"Match","Grammatical","Experiment 1"
"32",-4.69,1.8228851431e-10,"Match","Grammatical","Experiment 1"
"33",-4.68,1.9101401678e-10,"Match","Grammatical","Experiment 1"
"34",-4.67,2.0015654524e-10,"Match","Grammatical","Experiment 1"
"35",-4.66,2.0973891714e-10,"Match","Grammatical","Experiment 1"
"36",-4.65,2.1977767025e-10,"Match","Grammatical","Experiment 1"
"37",-4.64,2.3029768768e-10,"Match","Grammatical","Experiment 1"
"38",-4.63,2.4132261298e-10,"Match","Grammatical","Experiment 1"
"39",-4.62,2.5287274798e-10,"Match","Grammatical","Experiment 1"
"40",-4.61,2.6497821787e-10,"Match","Grammatical","Experiment 1"
"41",-4.6,2.7766206836e-10,"Match","Grammatical","Experiment 1"
"42",-4.59,2.909517033e-10,"Match","Grammatical","Experiment 1"
"43",-4.58,3.0488081467e-10,"Match","Grammatical","Experiment 1"
"44",-4.57,3.1947353732e-10,"Match","Grammatical","Experiment 1"
"45",-4.56,3.3476533365e-10,"Match","Grammatical","Experiment 1"
"46",-4.55,3.5079164416e-10,"Match","Grammatical","Experiment 1"
"47",-4.54,3.6758120468e-10,"Match","Grammatical","Experiment 1"
"48",-4.53,3.8517756891e-10,"Match","Grammatical","Experiment 1"
"49",-4.52,4.0361552279e-10,"Match","Grammatical","Experiment 1"
"50",-4.51,4.2293346473e-10,"Match","Grammatical","Experiment 1"
