"Response","RT","Attractor","Grammaticality","Accuracy","Experiment"
0,1.519,"Singular","Grammatical",0,"Experiment 1"
0,1.283,"Singular","Grammatical",0,"Experiment 1"
0,1.171,"Singular","Grammatical",0,"Experiment 1"
0,1.097,"Singular","Grammatical",0,"Experiment 1"
0,1.04,"Singular","Grammatical",0,"Experiment 1"
0,0.994,"Singular","Grammatical",0,"Experiment 1"
0,0.953,"Singular","Grammatical",0,"Experiment 1"
0,0.918,"Singular","Grammatical",0,"Experiment 1"
0,0.884,"Singular","Grammatical",0,"Experiment 1"
0,0.851,"Singular","Grammatical",0,"Experiment 1"
0,0.817,"Singular","Grammatical",0,"Experiment 1"
0,0.779,"Singular","Grammatical",0,"Experiment 1"
0,0.735,"Singular","Grammatical",0,"Experiment 1"
0,0.676,"Singular","Grammatical",0,"Experiment 1"
1,0.51,"Singular","Grammatical",1,"Experiment 1"
1,0.527,"Singular","Grammatical",1,"Experiment 1"
1,0.534,"Singular","Grammatical",1,"Experiment 1"
1,0.54,"Singular","Grammatical",1,"Experiment 1"
1,0.545,"Singular","Grammatical",1,"Experiment 1"
1,0.549,"Singular","Grammatical",1,"Experiment 1"
1,0.552,"Singular","Grammatical",1,"Experiment 1"
1,0.555,"Singular","Grammatical",1,"Experiment 1"
1,0.558,"Singular","Grammatical",1,"Experiment 1"
1,0.561,"Singular","Grammatical",1,"Experiment 1"
1,0.563,"Singular","Grammatical",1,"Experiment 1"
1,0.565,"Singular","Grammatical",1,"Experiment 1"
1,0.568,"Singular","Grammatical",1,"Experiment 1"
1,0.57,"Singular","Grammatical",1,"Experiment 1"
1,0.572,"Singular","Grammatical",1,"Experiment 1"
1,0.574,"Singular","Grammatical",1,"Experiment 1"
1,0.575,"Singular","Grammatical",1,"Experiment 1"
1,0.577,"Singular","Grammatical",1,"Experiment 1"
1,0.579,"Singular","Grammatical",1,"Experiment 1"
1,0.581,"Singular","Grammatical",1,"Experiment 1"
1,0.582,"Singular","Grammatical",1,"Experiment 1"
1,0.584,"Singular","Grammatical",1,"Experiment 1"
1,0.585,"Singular","Grammatical",1,"Experiment 1"
1,0.587,"Singular","Grammatical",1,"Experiment 1"
1,0.588,"Singular","Grammatical",1,"Experiment 1"
1,0.59,"Singular","Grammatical",1,"Experiment 1"
1,0.591,"Singular","Grammatical",1,"Experiment 1"
1,0.592,"Singular","Grammatical",1,"Experiment 1"
1,0.594,"Singular","Grammatical",1,"Experiment 1"
1,0.595,"Singular","Grammatical",1,"Experiment 1"
1,0.596,"Singular","Grammatical",1,"Experiment 1"
1,0.598,"Singular","Grammatical",1,"Experiment 1"
