"dataset","zr","a","v_Singular_Ungrammatical","t0","st0","v_Plural_Grammatical","v_Singular_Grammatical","v_Plural_Ungrammatical","penalty","fit","time","method","Experiment"
1,0.5535,1.6447,-0.5804,0.6307,0.1395,0.4047,0.482,-0.4746,0,0.9636,4.2459,"KS","Experiment 1"
10,0.2728,1.9119,0.1716,0.7152,0.2839,-0.1739,0.021,1.4726,0,0.4194,6.1767,"KS","Experiment 1"
11,0.4857,2.0485,-2.7145,0.5281,0.3512,1.1508,2.1442,-0.436,0,0.5818,5.178,"KS","Experiment 1"
12,0.6842,1.0865,-3.0892,0.5804,0.1446,4.9203,3.793,-1.3394,0,0.2348,6.6227,"KS","Experiment 1"
13,0.4429,2.0214,-1.1299,0.6541,0.4576,3.0682,9.6649,-0.4887,0,0.7117,10.0172,"KS","Experiment 1"
14,0.6346,1.5102,-1.3643,0.5985,0.312,1.3333,1.0483,-0.1499,0,0.7203,6.5961,"KS","Experiment 1"
15,0.5,0.4106,-6.0128,0.583,0.3357,2.8316,4.3668,-0.5405,0,0.7289,10.3884,"KS","Experiment 1"
16,0.375,1.4348,0.3808,0.6423,0.0526,1.4017,0.8492,-0.0343,0,0.935,4.5316,"KS","Experiment 1"
17,0.5869,1.3543,-2.652,0.5392,0.0525,1.8984,1.2136,-0.6667,0,0.4253,4.5604,"KS","Experiment 1"
18,0.5294,0.983,-1.3769,0.6004,0.2481,1.88,2.5021,-0.1975,0,0.7193,5.2142,"KS","Experiment 1"
19,0.6666,1.2442,-1.18,0.559,0.2602,3.3689,2.6402,-0.446,0,0.8962,3.6954,"KS","Experiment 1"
2,0.6034,1.7276,-2.8693,0.5561,0.3269,2.7725,2.5381,-6.143,0,0.5466,9.473,"KS","Experiment 1"
20,0.6379,1.6812,-0.1639,1.1953,0.6391,0.1706,1.2629,-0.3664,0,0.7912,12.1836,"KS","Experiment 1"
201,0.52,1.4934,1.199,0.5907,0.3647,0.8586,0.2352,0.8953,0,0.2074,8.8649,"KS","Experiment 1"
202,0.62,1.4732,-0.1208,0.6989,0.2726,0.2573,1.0481,0.3684,0,0.1578,4.8919,"KS","Experiment 1"
203,0.7812,1.9033,-2.8077,0.8118,0.6423,-0.0188,-0.1029,-0.8121,0,0.8827,5.591,"KS","Experiment 1"
204,0.8333,1.6105,-9.7271,0.5687,0.264,-0.2052,1.3352,-2.1604,0,0.6,6.7961,"KS","Experiment 1"
205,0.3864,1.2763,-0.0024,0.5418,0.0714,0.1033,1.8509,0.6827,0,0.8245,5.3326,"KS","Experiment 1"
206,0.5199,1.4349,-1.3291,0.7274,0.1575,1.2828,3.2071,0.0089,0,0.8065,4.9101,"KS","Experiment 1"
207,0.6944,1.0285,-0.8678,0.6224,0.2165,2.3684,4.3581,-0.2966,0,0.759,5.627,"KS","Experiment 1"
208,0.7143,1.2316,-3.0009,0.689,0.3477,2.3755,4.4188,-2.0485,0,0.3473,5.0239,"KS","Experiment 1"
209,0.5937,2.807,-2.1701,0.4099,0.6092,1.7954,2.0946,-0.9376,0,0.1145,5.0351,"KS","Experiment 1"
210,0.4865,2.1663,-2.3392,0.4988,0.1703,2.1204,2.254,-0.4714,0,0.6523,5.0582,"KS","Experiment 1"
211,0.4872,2.3038,-1.1722,0.5096,0.5617,1.8927,2.2074,0.0545,0,0.7096,7.0092,"KS","Experiment 1"
212,0.5454,1.3132,-3.4926,0.509,0.1667,3.5202,4.9591,-1.8998,0,0.4947,4.327,"KS","Experiment 1"
213,0.8088,2.0204,-5.0736,0.6978,0.5235,0.8952,2.0904,-1.6896,0,0.743,4.5473,"KS","Experiment 1"
214,0.5192,1.4935,-1.2153,0.7523,0.8142,1.9099,0.6048,-0.2356,0,0.8607,7.6962,"KS","Experiment 1"
