"Participant","Experiment","Order","Condition","Item","Response","Accuracy","RT","VerbWord","VerbType","L1","OtherLg","Age","Gender","Hand","Group","RespNum","Grammatical","Attractor","Label","Distance","Subject","Verb","Match","NewCond","List","Education","YearsInGermany","AoATurkish","AoAGerman","FqTurkish","FqGerman","FqOther","LengthTurkish","LengthGerman","ContextTurkish","ContextGerman","SelfRateTurkishListening","SelfRateTurkishSpeaking","SelfRateTurkishReading","SelfRateTurkishWriting","SelfRateGermanListening","SelfRateGermanSpeaking","SelfRateGermanReading","SelfRateGermanWriting","SelfRateTurkish","SelfRateGerman"
"M10","online",33,"d","22","no",1,972,"have_fun","unaccusative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","plural","Ungram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",49,"a","11","yes",1,1346,"walk_around","unergative","türkce","ingilizce",19,"female","right","monolingual",1,"grammatical","singular","Gram sg attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",50,"a","19","yes",1,441,"work","unergative","türkce","ingilizce",19,"female","right","monolingual",1,"grammatical","singular","Gram sg attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",11,"d","2","no",1,801,"faint","unaccusative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","plural","Ungram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",46,"c","13","no",1,1377,"become_angry","unergative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","singular","Ungram sg attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",66,"d","38","no",1,550,"get_lost","unaccusative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","plural","Ungram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",3,"d","6","no",1,1235,"get_bored","unaccusative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","plural","Ungram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",7,"c","25","no",1,971,"sit","unergative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","singular","Ungram sg attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",28,"b","20","no",0,830,"drink","transitive","türkce","ingilizce",19,"female","right","monolingual",0,"grammatical","plural","Gram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",9,"d","18","no",1,505,"talk","unergative","türkce","ingilizce",19,"female","right","monolingual",0,"ungrammatical","plural","Ungram pl attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10","online",6,"a","31","yes",1,628,"rejoice","unaccusative","türkce","ingilizce",19,"female","right","monolingual",1,"grammatical","singular","Gram sg attr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
